generation,individual,pre_learn_reward,post_learn_reward,agreement,entropy,agreement_agent_actions,agreement_expert_actions,agreement_env_flattened
2,4,0.0,0.0,0.3333333333333333,0.354812929824907,"[1, 1, 2, 2, 2, 1, 1, 2, 1]","[2, 2, 2, 2, 1, 2, 2, 2, 2]","[1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 2, 0, 1, 1, 0, 0, 0, 2, 0, 1, 1, 0, 0, 0, 2, 0, 1, 1, 0, 0, 0, 2, 5, 1, 1, 1, 1, 1, 1, 1, 1]"
2,5,0.0,0.0,0.45454545454545453,0.7434657000157298,"[1, 2, 1, 1, 1, 2, 2, 2, 1, 2, 1]","[1, 2, 0, 2, 2, 2, 2, 1, 2, 2, 2]","[1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 2, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 2, 0, 0, 1, 1, 0, 0, 2, 0, 0, 1, 1, 0, 0, 2, 0, 5, 1, 1, 1, 1, 1, 1, 1, 1]"
2,6,0.0,0.0,0.18181818181818182,0.16483093798160553,"[2, 1, 1, 2, 2, 1, 1, 1, 1, 2, 2]","[1, 2, 2, 2, 0, 2, 2, 2, 2, 1, 2]","[1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 2, 0, 0, 1, 1, 0, 0, 2, 0, 0, 1, 1, 0, 0, 2, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 2, 0, 5, 1, 1, 1, 1, 1, 1, 1, 1]"
2,7,0.0,0.0,0.45454545454545453,0.4473429096444529,"[1, 2, 1, 2, 2, 0, 1, 2, 2, 2, 1]","[1, 2, 2, 2, 0, 2, 2, 2, 2, 1, 2]","[1, 1, 1, 1, 1, 1, 1, 1, 0, 2, 0, 0, 0, 1, 1, 0, 2, 0, 0, 0, 1, 1, 0, 2, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 2, 0, 0, 5, 1, 1, 1, 1, 1, 1, 1, 1]"
2,8,0.0,0.0,0.0,0.5915029594788745,"[1, 1, 1, 1, 2, 1, 1, 1, 1]","[2, 2, 2, 2, 1, 2, 2, 2, 2]","[1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 2, 0, 1, 1, 0, 0, 0, 2, 0, 1, 1, 0, 0, 0, 2, 0, 1, 1, 0, 0, 0, 2, 5, 1, 1, 1, 1, 1, 1, 1, 1]"
2,9,0.0,0.0,0.2727272727272727,0.593066893061813,"[1, 1, 1, 2, 1, 1, 1, 2, 1, 2, 1]","[1, 2, 2, 2, 0, 2, 2, 2, 2, 1, 2]","[1, 1, 1, 1, 1, 1, 1, 1, 0, 2, 0, 0, 0, 1, 1, 0, 2, 0, 0, 0, 1, 1, 0, 2, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 2, 0, 0, 5, 1, 1, 1, 1, 1, 1, 1, 1]"
2,10,0.0,0.0,0.3333333333333333,0.45845105514234424,"[1, 1, 2, 2, 2, 1, 1, 2, 1]","[2, 2, 2, 2, 1, 2, 2, 2, 2]","[1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 2, 0, 1, 1, 0, 0, 0, 2, 0, 1, 1, 0, 0, 0, 2, 0, 1, 1, 0, 0, 0, 2, 5, 1, 1, 1, 1, 1, 1, 1, 1]"
2,11,0.0,0.0,0.0,0.7736933638854903,"[1, 1, 1, 1, 2, 1, 1, 1, 1]","[2, 2, 2, 2, 1, 2, 2, 2, 2]","[1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 2, 0, 1, 1, 0, 0, 0, 2, 0, 1, 1, 0, 0, 0, 2, 0, 1, 1, 0, 0, 0, 2, 5, 1, 1, 1, 1, 1, 1, 1, 1]"
2,12,0.0,0.954081654548645,0.36363636363636365,0.586759725167435,"[1, 1, 2, 1, 0, 1, 1, 1, 1, 1, 1]","[1, 2, 2, 2, 0, 2, 2, 2, 2, 1, 2]","[1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 2, 0, 0, 1, 1, 0, 0, 2, 0, 0, 1, 1, 0, 0, 2, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 2, 0, 5, 1, 1, 1, 1, 1, 1, 1, 1]"
2,13,0.0,0.0,0.45454545454545453,0.8057590656134547,"[1, 2, 2, 1, 0, 1, 1, 1, 1, 1, 1]","[1, 2, 2, 2, 0, 2, 2, 2, 2, 1, 2]","[1, 1, 1, 1, 1, 1, 1, 1, 0, 2, 0, 0, 0, 1, 1, 0, 2, 0, 0, 0, 1, 1, 0, 2, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 2, 0, 0, 5, 1, 1, 1, 1, 1, 1, 1, 1]"
2,14,0.0,0.0,0.2727272727272727,0.6044163565550532,"[1, 2, 2, 1, 1, 2, 1, 2, 1, 1, 1]","[1, 2, 0, 2, 2, 2, 2, 1, 2, 2, 2]","[1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 2, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 2, 0, 0, 1, 1, 0, 0, 2, 0, 0, 1, 1, 0, 0, 2, 0, 5, 1, 1, 1, 1, 1, 1, 1, 1]"
2,15,0.0,0.0,0.3,0.5982974194446389,"[1, 1, 1, 1, 2, 1, 2, 1, 2, 1]","[2, 1, 2, 2, 2, 2, 0, 2, 2, 2]","[1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 2, 0, 1, 1, 0, 0, 0, 2, 0, 1, 1, 0, 0, 0, 2, 0, 1, 1, 0, 0, 0, 2, 0, 1, 1, 0, 0, 0, 0, 5, 1, 1, 1, 1, 1, 1, 1, 1]"
