generation,phase,state_id,mode_action,mode_count,population_size,agreement
2,after,78,0,12,20,0.6
2,after,79,1,7,20,0.35
2,after,80,0,14,20,0.7
2,after,81,0,12,20,0.6
2,after,82,0,8,20,0.4
2,after,83,0,13,20,0.65
2,after,84,0,15,20,0.75
2,after,85,0,13,20,0.65
2,after,86,0,12,20,0.6
2,after,87,0,15,20,0.75
2,after,88,1,8,20,0.4
2,after,89,0,9,20,0.45
2,after,90,2,9,20,0.45
2,after,91,1,7,20,0.35
2,after,92,2,8,20,0.4
2,after,93,0,9,20,0.45
2,after,94,0,14,20,0.7
2,after,95,2,8,20,0.4
2,after,96,0,9,20,0.45
2,after,97,0,10,20,0.5
2,after,98,0,14,20,0.7
2,after,99,0,13,20,0.65
2,after,100,1,7,20,0.35
2,after,101,0,10,20,0.5
2,after,102,1,8,20,0.4
2,after,103,2,9,20,0.45
2,after,104,2,8,20,0.4
2,after,105,0,9,20,0.45
2,after,106,2,8,20,0.4
2,after,107,0,8,20,0.4
2,after,108,1,8,20,0.4
2,after,109,0,14,20,0.7
2,after,110,0,12,20,0.6
2,after,111,0,13,20,0.65
2,after,112,1,7,20,0.35
2,after,113,2,8,20,0.4
2,after,114,1,8,20,0.4
2,after,115,0,12,20,0.6
2,after,116,0,8,20,0.4
2,after,117,2,8,20,0.4
2,after,118,0,8,20,0.4
2,after,119,1,7,20,0.35
2,after,120,0,9,20,0.45
2,after,121,0,12,20,0.6
2,after,122,0,8,20,0.4
2,after,123,0,11,20,0.55
2,after,124,0,10,20,0.5
2,after,125,0,11,20,0.55
2,after,126,1,7,20,0.35
2,after,127,0,10,20,0.5
2,after,128,0,9,20,0.45
2,after,129,1,7,20,0.35
2,after,130,0,10,20,0.5
2,before,0,0,16,20,0.8
2,before,1,0,10,20,0.5
2,before,2,0,10,20,0.5
2,before,3,1,7,20,0.35
2,before,4,1,7,20,0.35
2,before,5,0,17,20,0.85
2,before,6,2,10,20,0.5
2,before,7,0,13,20,0.65
2,before,8,0,17,20,0.85
2,before,9,0,10,20,0.5
2,before,10,1,7,20,0.35
2,before,11,0,17,20,0.85
2,before,12,2,10,20,0.5
2,before,13,0,10,20,0.5
2,before,14,0,10,20,0.5
2,before,15,0,10,20,0.5
2,before,16,0,13,20,0.65
2,before,17,0,17,20,0.85
2,before,18,0,13,20,0.65
2,before,19,0,17,20,0.85
2,before,20,0,17,20,0.85
2,before,21,2,10,20,0.5
2,before,22,2,11,20,0.55
2,before,23,1,7,20,0.35
2,before,24,0,10,20,0.5
2,before,25,0,10,20,0.5
2,before,26,0,10,20,0.5
2,before,27,2,10,20,0.5
2,before,28,0,16,20,0.8
2,before,29,0,13,20,0.65
2,before,30,0,12,20,0.6
2,before,31,0,10,20,0.5
2,before,32,2,10,20,0.5
2,before,33,0,16,20,0.8
2,before,34,2,10,20,0.5
2,before,35,0,10,20,0.5
2,before,36,2,8,20,0.4
2,before,37,0,12,20,0.6
2,before,38,2,10,20,0.5
2,before,39,0,17,20,0.85
2,before,40,0,9,20,0.45
2,before,41,0,10,20,0.5
2,before,42,0,13,20,0.65
2,before,43,0,11,20,0.55
2,before,44,1,12,20,0.6
2,before,45,0,16,20,0.8
2,before,46,0,10,20,0.5
2,before,47,0,10,20,0.5
2,before,48,0,10,20,0.5
2,before,49,2,11,20,0.55
2,before,50,0,10,20,0.5
2,before,51,0,10,20,0.5
2,before,52,1,7,20,0.35
2,before,53,2,10,20,0.5
2,before,54,1,8,20,0.4
2,before,55,0,10,20,0.5
2,before,56,0,10,20,0.5
2,before,57,2,10,20,0.5
2,before,58,2,10,20,0.5
2,before,59,0,10,20,0.5
2,before,60,0,17,20,0.85
2,before,61,0,11,20,0.55
2,before,62,0,20,20,1.0
2,before,63,0,14,20,0.7
2,before,64,0,10,20,0.5
2,before,65,0,17,20,0.85
2,before,66,0,10,20,0.5
2,before,67,0,16,20,0.8
2,before,68,2,9,20,0.45
2,before,69,0,16,20,0.8
2,before,70,0,10,20,0.5
2,before,71,1,7,20,0.35
2,before,72,0,13,20,0.65
2,before,73,2,10,20,0.5
2,before,74,2,10,20,0.5
2,before,75,0,17,20,0.85
2,before,76,0,10,20,0.5
2,before,77,0,13,20,0.65
2,before,78,0,10,20,0.5
2,before,79,0,10,20,0.5
2,before,80,0,17,20,0.85
2,before,81,0,10,20,0.5
2,before,82,0,10,20,0.5
2,before,83,0,17,20,0.85
2,before,84,0,17,20,0.85
2,before,85,0,17,20,0.85
2,before,86,0,10,20,0.5
2,before,87,0,17,20,0.85
2,before,88,1,7,20,0.35
2,before,89,0,15,20,0.75
2,before,90,0,10,20,0.5
2,before,91,1,7,20,0.35
2,before,92,0,10,20,0.5
2,before,93,1,11,20,0.55
2,before,94,0,17,20,0.85
2,before,95,1,7,20,0.35
2,before,96,0,10,20,0.5
2,before,97,0,10,20,0.5
2,before,98,0,16,20,0.8
2,before,99,0,17,20,0.85
2,before,100,0,10,20,0.5
2,before,101,0,10,20,0.5
2,before,102,0,10,20,0.5
2,before,103,2,10,20,0.5
2,before,104,2,12,20,0.6
2,before,105,2,10,20,0.5
2,before,106,2,11,20,0.55
2,before,107,1,8,20,0.4
2,before,108,2,10,20,0.5
2,before,109,0,17,20,0.85
2,before,110,0,19,20,0.95
2,before,111,0,14,20,0.7
2,before,112,0,10,20,0.5
2,before,113,1,7,20,0.35
2,before,114,2,10,20,0.5
2,before,115,0,13,20,0.65
2,before,116,2,10,20,0.5
2,before,117,1,7,20,0.35
2,before,118,0,10,20,0.5
2,before,119,0,10,20,0.5
2,before,120,0,10,20,0.5
2,before,121,0,12,20,0.6
2,before,122,2,11,20,0.55
2,before,123,0,13,20,0.65
2,before,124,2,10,20,0.5
2,before,125,0,13,20,0.65
2,before,126,0,10,20,0.5
2,before,127,1,12,20,0.6
2,before,128,0,10,20,0.5
2,before,129,2,10,20,0.5
2,before,130,0,10,20,0.5
3,after,0,1,8,20,0.4
3,after,1,1,16,20,0.8
3,after,2,1,12,20,0.6
3,after,3,2,17,20,0.85
3,after,4,2,16,20,0.8
3,after,5,0,9,20,0.45
3,after,6,2,15,20,0.75
3,after,7,1,10,20,0.5
3,after,8,0,8,20,0.4
3,after,9,2,16,20,0.8
3,after,10,2,12,20,0.6
3,after,11,1,10,20,0.5
3,after,12,2,15,20,0.75
3,after,13,2,11,20,0.55
3,after,14,2,13,20,0.65
3,after,15,1,11,20,0.55
3,after,16,0,9,20,0.45
3,after,17,1,10,20,0.5
3,after,18,2,10,20,0.5
3,after,19,1,10,20,0.5
3,after,20,1,9,20,0.45
3,after,21,1,13,20,0.65
3,after,22,2,17,20,0.85
3,after,23,2,17,20,0.85
3,after,24,1,11,20,0.55
3,after,25,2,13,20,0.65
3,after,26,2,15,20,0.75
3,after,27,2,12,20,0.6
3,after,28,1,8,20,0.4
3,after,29,1,10,20,0.5
3,after,30,2,8,20,0.4
3,after,31,2,13,20,0.65
3,after,32,2,15,20,0.75
3,after,33,1,9,20,0.45
3,after,34,2,15,20,0.75
3,after,35,2,10,20,0.5
3,after,36,1,11,20,0.55
3,after,37,1,11,20,0.55
3,after,38,2,15,20,0.75
3,after,39,0,11,20,0.55
3,after,40,1,12,20,0.6
3,after,41,1,9,20,0.45
3,after,42,2,12,20,0.6
3,after,43,2,12,20,0.6
3,after,44,1,8,20,0.4
3,after,45,1,10,20,0.5
3,after,46,2,15,20,0.75
3,after,47,2,14,20,0.7
3,after,48,2,14,20,0.7
3,after,49,2,17,20,0.85
3,after,50,2,13,20,0.65
3,after,51,1,15,20,0.75
3,after,52,2,10,20,0.5
3,after,53,2,15,20,0.75
3,after,54,2,12,20,0.6
3,after,55,2,12,20,0.6
3,after,56,1,11,20,0.55
3,after,57,2,11,20,0.55
3,after,58,2,13,20,0.65
3,after,59,1,10,20,0.5
3,after,60,1,12,20,0.6
3,after,61,1,11,20,0.55
3,after,62,1,8,20,0.4
3,after,63,1,10,20,0.5
